GMDandPRIMe_names,MetNames,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,CAS,InChI,Formula,MW,RETENTIONTIME,RETENTIONINDEX
M000000_A097001-101-xxx_NA_959.45_PRED_VAR5_ALK_Unknown#bth-pae-001,Unknown#bth-pae-001,,,,,,,,,,,,,959.45
M000880_A098001-101-xxx_NA_986.97_TRUE_VAR5_ALK_Glycine. N.N-dimethyl- (1TMS),Glycine. N.N-dimethyl-,Dimethylglycine,HMDB0000092,673,17724,C01026,277,CN(C)CC(=O)O,1118-68-9,InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2.1-2H3.(H.6.7),C7H17NO2Si,175.301,,986.97
M001213_A098002-101-xxx_NA_988_TRUE_VAR5_ALK_Propane-1.2-diol (2TMS),Propane-1.2-diol,Propylene glycol,HMDB0001881,1030,16997,C00583,3220,CC(CO)O,17887-27-3,InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H.2H2.1H3,C9H24O2Si2,220.457,,988
M000000_A098003-101-xxx_NA_973.23_PRED_VAR5_ALK_Boric-acid_3TMS,Boric-acid,,,,,,,,,,,,,973.23
M000000_A098004-101-xxx_NA_969.94_PRED_VAR5_ALK_Unknown#bth-pae-006,Unknown#bth-pae-006,,,,,,,,,,,,,969.94
M000412_A100001-101-xxx_NA_986.12_TRUE_VAR5_ALK_Glyoxylic acid (1MEOX) (1TMS),Glyoxylic acid,Glyoxylic acid,HMDB0000119,760,16891,C00048,3213,C(=O)C(=O)O,298-12-4,InChI=1S/C2H2O3/c3-1-2(4)5/h1H.(H.4.5),C6H13NO3Si,175.258,,986.12
M000293_A100002-101-xxx_NA_957.21_PRED_VAR5_ALK_Hydrogen sulfide (2TMS),Hydrogen sulfide,Sulfide,HMDB0000598,29109,15138,C00087,3193,[S-2],7783/6/4,InChI=1S/H2S/h1H2,C6H18SSi2,178.444,,957.21
M000515_A100003-101-xxx_NA_1000_TRUE_VAR5_ALK_Decane. n-,Decane. n-,,,,,,,,124-18-5,InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2.1-2H3,C10H22,142.282,,1000
M000027_A100004-101-xxx_NA_1005.49_TRUE_VAR5_ALK_Alanine. beta- (1TMS),Alanine. beta-,Beta-Alanine,HMDB0000056,239,16958,C00099,5119,C(CN)C(=O)O,107-95-9,InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2.4H2.(H.5.6),C6H15NO2Si,161.274,,1005.49
M000836_A100005-101-xxx_NA_953.17_PRED_VAR5_ALK_Carbodiimide (2TMS),Carbodiimide,NA,,,,,,,420-04-2,InChI=1S/CH2N2/c2-1-3/h2-3H,C7H18N2Si2,186.402,,953.17
M000000_A100007-101-xxx_NA_1000.81_TRUE_VAR5_ALK_Propargyl Alcohol (1TMS),Propargyl Alcohol,,,,,,,,,,C6H12OSi,128.245,,1000.81
M000000_A100008-101-xxx_NA_990.29_PRED_VAR5_ALK_Cyclohexanol_1TMS,Cyclohexanol,,,8103,113441,,,,,,,,,990.29
M000240_A101001-101-xxx_NA_1019.59_TRUE_VAR5_ALK_Cyclopropanecarboxylic acid. 1-amino- (1TMS),Cyclopropanecarboxylic acid. 1-amino-,NA,,,,,,,22059-21-8,InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2.5H2.(H.6.7),C7H15NO2Si,173.285,,1019.59
M000000_A101002-101-xxx_NA_1004.72_PRED_VAR5_ALK_Unknown#bth-pae-007,Unknown#bth-pae-007,,,,,,,,,,,,,1004.72
M000228_A102001-101-xxx_NA_1026.43_TRUE_VAR5_ALK_Butanoic acid. 2-amino- (1TMS),Butanoic acid. 2-amino-,NA,,,,,,,2835-81-6,InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H.2.5H2.1H3.(H.6.7),C7H17NO2Si,175.301,,1026.43
M000882_A102002-101-xxx_NA_1022.1_TRUE_VAR5_ALK_Benzene. 1.3-dichloro-,Benzene. 1.3-dichloro-,NA,,,,,,,541-73-1,InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H,C6H4Cl2,147.001,,1022.1
M000883_A102003-101-xxx_NA_1022.2_TRUE_VAR5_ALK_Pyridine. 3-cyano-,Pyridine. 3-cyano-,,,,,,,,,InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3.5H,C6H4N2,104.11,,1022.2
M000884_A103002-101-xxx_NA_1039.24_TRUE_VAR5_ALK_Isobutanoic acid. 3-amino- (1TMS),Isobutanoic acid. 3-amino-,(R)-b-aminoisobutyric acid,HMDB0002299,5459822,16320,C01205,6599,C[C@H](CN)C(=O)O,,InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H.2.5H2.1H3.(H.6.7),C7H17NO2Si,175.301,,1039.24
M000000_A103003-101-xxx_NA_1019.45_PRED_VAR5_ALK_Unknown#bth-pae-008,Unknown#bth-pae-008,,,,,,,,,,,,,1019.45
M000870_A104001-101-xxx_NA_1021.01_PRED_VAR5_ALK_Siloxane,Siloxane,,,,,,,,,InChI=1S/H6OSi2/c2-1-3/h2-3H3,,,,1021.01
M000071_A104002-101-xxx_NA_1037.28_TRUE_VAR5_ALK_Pyruvic acid (1MEOX) (1TMS),Pyruvic acid,Pyruvic acid,HMDB0000243,1060,32816,C00022,117,CC(=O)C(=O)O,127-17-3,InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3.(H.5.6),C7H15NO3Si,189.285,,1037.28
M000885_A104003-101-xxx_NA_1038.97_TRUE_VAR5_ALK_Propane-1.3-diol (2TMS),Propane-1.3-diol,"Propane-1,3-diol",METPA0292,,,C02457,,,504-63-2,InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H.1-3H2,C9H24O2Si2,220.457,,1038.97
M001210_A104004-101-xxx_NA_1049.38_TRUE_VAR5_ALK_Phenol (1TMS),Phenol,Phenol,HMDB0000228,996,15882,C00146,128,C1=CC=C(C=C1)O,,InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5.7H,,,,1049.38
M000000_A104005-101-xxx_NA_1046.75_TRUE_VAR5_ALK_D104497,D104497,,,,,,,,,,,,,1046.75
M000100_A105001-101-xxx_NA_1044.47_TRUE_VAR5_ALK_Lactic acid (2TMS),Lactic acid,L-Lactic acid,HMDB0000190,107689,422,C00186,5205,C[C@@H](C(=O)O)O,50-21-5,InChI=1S/C3H6O3/c1-2(4)3(5)6/h2.4H.1H3.(H.5.6),C9H22O3Si2,234.44,,1044.47
M000418_A105002-101-xxx_NA_1050.84_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1050.84
M000413_A105003-101-xxx_NA_1031.31_TRUE_VAR5_ALK_Pyridine. 2-hydroxy- (1TMS),Pyridine. 2-hydroxy-,2-Hydroxypyridine,HMDB0013751,8871,16540,C02502,,C1=CC(=O)NC=C1,142-08-5,InChI=1S/C5H5NO/c7-5-3-1-2-4-6-5/h1-4H.(H.6.7),C8H13NOSi,167.281,,1031.31
M000000_A105004-101-xxx_NA_1055.29_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,1055.29
M000000_A105006-101-xxx_NA_1038.92_PRED_VAR5_ALK_1-Cyclohexenol_1TMS,1-Cyclohexenol,,,,,,,,,,,,,1038.92
M000460_A106001-101-xxx_NA_1062_TRUE_VAR5_ALK_Hexanoic acid (1TMS),Hexanoic acid,Caproic acid,HMDB0000535,8892,30776,C01585,5520,CCCCCC(=O)O,142-62-1,InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2.1H3.(H.7.8),C9H20O2Si,188.34,,1062
M000886_A106002-101-xxx_NA_1062.88_TRUE_VAR5_ALK_Glycolic acid (2TMS),Glycolic acid,Glycolic acid,HMDB0000115,757,17497,C00160,3219,C(C(=O)O)O,79-14-1,InChI=1S/C2H4O3/c3-1-2(4)5/h3H.1H2.(H.4.5),C8H20O3Si2,220.414,,1062.88
M000000_A106004-101-xxx_NA_1060.75_TRUE_VAR5_ALK_D106098,D106098,,,,,,,,,,,,,1060.75
M000000_A107001-101-xxx_NA_1060.6_PRED_VAR5_ALK_Unknown#bth-pae-059,Unknown#bth-pae-059,,,,,,,,,,,,,1060.6
M000000_A108001-101-xxx_NA_1073.24_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1073.24
M000071_A108002-101-xxx_NA_1072.79_TRUE_VAR5_ALK_Pyruvic acid (2TMS),Pyruvic acid,Pyruvic acid,HMDB0000243,1060,32816,C00022,117,CC(=O)C(=O)O,127-17-3,InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3.(H.5.6),C9H20O3Si2,232.424,,1072.79
M000000_A108004-101-xxx_NA_1077.3_PRED_VAR5_ALK_Unknown#sst-cgl-D03,Unknown#sst-cgl-D03,,,,,,,,,,,,,1077.3
M000030_A109001-101-xxx_NA_1081.68_TRUE_VAR5_ALK_Valine (1TMS),Valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@@H](C(=O)O)N,72-18-4,InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H.6H2.1-2H3.(H.7.8)/t4-/m0/s1,C8H19NO2Si,189.328,,1081.68
M000000_A109003-101-xxx_NA_1094.69_TRUE_VAR5_ALK_NA109003 (classified unknown),NA109003 (classified unknown),,,,,,,,,,,,,1094.69
M001238_A109004-101-xxx_NA_1095.56_TRUE_VAR5_ALK_Pyrazine. 2-hydroxy-3-methyl- (1TMS),Pyrazine. 2-hydroxy-3-methyl-,,,,,,,,,InChI=1S/C5H6N2O/c1-4-5(8)7-3-2-6-4/h2-3H.1H3.(H.7.8),C8H14N2OSi,182.295,,1095.56
M000026_A110001-101-xxx_NA_1088.46_TRUE_VAR5_ALK_Alanine (2TMS),Alanine,L-Alanine,HMDB0000161,5950,16977,C00041,,C[C@@H](C(=O)O)N,338-69-2,InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H.4H2.1H3.(H.5.6)/t2-/m1/s1,C9H23NO2Si2,233.456,,1088.46
M000416_A110002-101-xxx_NA_1104.93_PRED_VAR5_ALK_Hydroxylamine (3TMS),Hydroxylamine,Hydroxylamine,HMDB0003338,787,15429,C00192,6894,NO,7803-49-8,InChI=1S/H3NO/c1-2/h2H.1H2,C9H27NOSi3,249.573,,1104.93
M000887_A110005-101-xxx_NA_1104.52_TRUE_VAR5_ALK_Acetoacetic acid (1MEOX) (1TMS) BP,Acetoacetic acid,Acetoacetic acid,HMDB0000060,96,15344,C00164,276,CC(=O)CC(=O)O,,InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2.1H3.(H.6.7),C8H17NO3Si,203.311,,1104.52
