"","Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1","Unknown#bth-pae-001","NA","NA","NA","NA","NA","NA","NA","0"
"2","Glycine. N.N-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"3","Propane-1.2-diol","NA","NA","NA","NA","NA","NA","NA","0"
"4","Boric-acid","NA","NA","NA","NA","NA","NA","NA","0"
"5","Unknown#bth-pae-006","NA","NA","NA","NA","NA","NA","NA","0"
"6","Glyoxylic acid","Glyoxylic acid","HMDB0000119","760","16891","C00048","3213","C(=O)C(=O)O","1"
"7","Hydrogen sulfide","Hydrogen sulfide","HMDB0003276","402","16136","C00283","3193","S","1"
"8","Decane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"9","Alanine. beta-","NA","NA","NA","NA","NA","NA","NA","0"
"10","Carbodiimide","NA","NA","NA","NA","NA","NA","NA","0"
"11","Propargyl Alcohol","2-Propyn-1-ol","METPA0729",NA,NA,"C05986",NA,NA,"1"
"12","Cyclohexanol","1-Hexanol","HMDB0012971","8103","113441","C00854",NA,"CCCCCCO","1"
"13","Cyclopropanecarboxylic acid. 1-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"14","Unknown#bth-pae-007","NA","NA","NA","NA","NA","NA","NA","0"
"15","Butanoic acid. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"16","Benzene. 1.3-dichloro-","NA","NA","NA","NA","NA","NA","NA","0"
"17","Pyridine. 3-cyano-","NA","NA","NA","NA","NA","NA","NA","0"
"18","Isobutanoic acid. 3-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"19","Unknown#bth-pae-008","NA","NA","NA","NA","NA","NA","NA","0"
"20","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"21","Pyruvic acid","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"22","Propane-1.3-diol","NA","NA","NA","NA","NA","NA","NA","0"
"23","Phenol","Phenol","HMDB0000228","996","15882","C00146","128","C1=CC=C(C=C1)O","1"
"24","D104497","NA","NA","NA","NA","NA","NA","NA","0"
