"GMDandPRIMe_names","MetNames"
"M000000_A097001-101-xxx_NA_959.45_PRED_VAR5_ALK_Unknown#bth-pae-001","Unknown#bth-pae-001"
"M000880_A098001-101-xxx_NA_986.97_TRUE_VAR5_ALK_Glycine. N.N-dimethyl- (1TMS)","Glycine. N.N-dimethyl-"
"M001213_A098002-101-xxx_NA_988_TRUE_VAR5_ALK_Propane-1.2-diol (2TMS)","Propane-1.2-diol"
"M000000_A098003-101-xxx_NA_973.23_PRED_VAR5_ALK_Boric-acid_3TMS","Boric-acid"
"M000000_A098004-101-xxx_NA_969.94_PRED_VAR5_ALK_Unknown#bth-pae-006","Unknown#bth-pae-006"
"M000412_A100001-101-xxx_NA_986.12_TRUE_VAR5_ALK_Glyoxylic acid (1MEOX) (1TMS)","Glyoxylic acid"
"M000293_A100002-101-xxx_NA_957.21_PRED_VAR5_ALK_Hydrogen sulfide (2TMS)","Hydrogen sulfide"
"M000515_A100003-101-xxx_NA_1000_TRUE_VAR5_ALK_Decane. n-","Decane. n-"
"M000027_A100004-101-xxx_NA_1005.49_TRUE_VAR5_ALK_Alanine. beta- (1TMS)","Alanine. beta-"
"M000836_A100005-101-xxx_NA_953.17_PRED_VAR5_ALK_Carbodiimide (2TMS)","Carbodiimide"
"M000000_A100007-101-xxx_NA_1000.81_TRUE_VAR5_ALK_Propargyl Alcohol (1TMS)","Propargyl Alcohol"
"M000000_A100008-101-xxx_NA_990.29_PRED_VAR5_ALK_Cyclohexanol_1TMS","Cyclohexanol"
"M000240_A101001-101-xxx_NA_1019.59_TRUE_VAR5_ALK_Cyclopropanecarboxylic acid. 1-amino- (1TMS)","Cyclopropanecarboxylic acid. 1-amino-"
"M000000_A101002-101-xxx_NA_1004.72_PRED_VAR5_ALK_Unknown#bth-pae-007","Unknown#bth-pae-007"
"M000228_A102001-101-xxx_NA_1026.43_TRUE_VAR5_ALK_Butanoic acid. 2-amino- (1TMS)","Butanoic acid. 2-amino-"
"M000882_A102002-101-xxx_NA_1022.1_TRUE_VAR5_ALK_Benzene. 1.3-dichloro-","Benzene. 1.3-dichloro-"
"M000883_A102003-101-xxx_NA_1022.2_TRUE_VAR5_ALK_Pyridine. 3-cyano-","Pyridine. 3-cyano-"
"M000884_A103002-101-xxx_NA_1039.24_TRUE_VAR5_ALK_Isobutanoic acid. 3-amino- (1TMS)","Isobutanoic acid. 3-amino-"
"M000000_A103003-101-xxx_NA_1019.45_PRED_VAR5_ALK_Unknown#bth-pae-008","Unknown#bth-pae-008"
"M000870_A104001-101-xxx_NA_1021.01_PRED_VAR5_ALK_Siloxane","Siloxane"
"M000071_A104002-101-xxx_NA_1037.28_TRUE_VAR5_ALK_Pyruvic acid (1MEOX) (1TMS)","Pyruvic acid"
"M000885_A104003-101-xxx_NA_1038.97_TRUE_VAR5_ALK_Propane-1.3-diol (2TMS)","Propane-1.3-diol"
"M001210_A104004-101-xxx_NA_1049.38_TRUE_VAR5_ALK_Phenol (1TMS)","Phenol"
"M000000_A104005-101-xxx_NA_1046.75_TRUE_VAR5_ALK_D104497","D104497"
"M000100_A105001-101-xxx_NA_1044.47_TRUE_VAR5_ALK_Lactic acid (2TMS)","Lactic acid"
"M000418_A105002-101-xxx_NA_1050.84_PRED_VAR5_ALK_NA","NA"
"M000413_A105003-101-xxx_NA_1031.31_TRUE_VAR5_ALK_Pyridine. 2-hydroxy- (1TMS)","Pyridine. 2-hydroxy-"
"M000000_A105004-101-xxx_NA_1055.29_TRUE_VAR5_ALK_NA","NA"
"M000000_A105006-101-xxx_NA_1038.92_PRED_VAR5_ALK_1-Cyclohexenol_1TMS","1-Cyclohexenol"
"M000460_A106001-101-xxx_NA_1062_TRUE_VAR5_ALK_Hexanoic acid (1TMS)","Hexanoic acid"
"M000886_A106002-101-xxx_NA_1062.88_TRUE_VAR5_ALK_Glycolic acid (2TMS)","Glycolic acid"
"M000000_A106004-101-xxx_NA_1060.75_TRUE_VAR5_ALK_D106098","D106098"
"M000000_A107001-101-xxx_NA_1060.6_PRED_VAR5_ALK_Unknown#bth-pae-059","Unknown#bth-pae-059"
"M000000_A108001-101-xxx_NA_1073.24_PRED_VAR5_ALK_NA","NA"
"M000071_A108002-101-xxx_NA_1072.79_TRUE_VAR5_ALK_Pyruvic acid (2TMS)","Pyruvic acid"
"M000000_A108004-101-xxx_NA_1077.3_PRED_VAR5_ALK_Unknown#sst-cgl-D03","Unknown#sst-cgl-D03"
"M000030_A109001-101-xxx_NA_1081.68_TRUE_VAR5_ALK_Valine (1TMS)","Valine"
"M000000_A109003-101-xxx_NA_1094.69_TRUE_VAR5_ALK_NA109003 (classified unknown)","NA109003 (classified unknown)"
"M001238_A109004-101-xxx_NA_1095.56_TRUE_VAR5_ALK_Pyrazine. 2-hydroxy-3-methyl- (1TMS)","Pyrazine. 2-hydroxy-3-methyl-"
"M000026_A110001-101-xxx_NA_1088.46_TRUE_VAR5_ALK_Alanine (2TMS)","Alanine"
"M000416_A110002-101-xxx_NA_1104.93_PRED_VAR5_ALK_Hydroxylamine (3TMS)","Hydroxylamine"
"M000887_A110005-101-xxx_NA_1104.52_TRUE_VAR5_ALK_Acetoacetic acid (1MEOX) (1TMS) BP","Acetoacetic acid"
"M001195_A110006-101-xxx_NA_2033_TRUE_VAR5_ALK_6-epi-castanospermine (4TMS)","6-epi-castanospermine"
"M000000_A110007-101-xxx_NA_1095.09_PRED_VAR5_ALK_Butylamine_2TMS","Butylamine"
"M000417_A111001-101-xxx_NA_1036.89_TRUE_VAR5_ALK_Limonene. (+/-)-","Limonene."
"M000888_A111002-101-xxx_NA_1111.63_TRUE_VAR5_ALK_Butanoic acid. 2-hydroxy- (2TMS)","Butanoic acid. 2-hydroxy-"
"M000000_A111004-101-xxx_NA_1102.95_PRED_VAR5_ALK_Benzaldehyde_1_1MeOX","Benzaldehyde_1"
"M000000_A111005-101-xxx_NA_1105.4_PRED_VAR5_ALK_Norvaline_1TMS","Norvaline"
"M000000_A111006-101-xxx_NA_1104.89_PRED_VAR5_ALK_Unknown#sst-cgl-002","Unknown#sst-cgl-002"
"M000887_A112001-101-xxx_NA_1123.54_TRUE_VAR5_ALK_Acetoacetic acid (1MEOX) (1TMS) MP","Acetoacetic acid"
"M000000_A112003-101-xxx_NA_1122.44_TRUE_VAR5_ALK_NA","NA"
"M000000_A112004-101-xxx_NA_1109.86_PRED_VAR5_ALK_Benzaldehyde_2_1MeOX","Benzaldehyde_2"
"M000870_A113001-101-xxx_NA_1117.07_PRED_VAR5_ALK_similar to Cyclopentasiloxane. decamethyl","similar to Cyclopentasiloxane. decamethyl"
"M000070_A113002-101-xxx_NA_1118.32_TRUE_VAR5_ALK_Oxalic acid (2TMS)","Oxalic acid"
"M000000_A113003-101-xxx_NA_1123.73_PRED_VAR5_ALK_NA","NA"
"M000518_A113004-101-xxx_NA_1125.98_TRUE_VAR5_ALK_Sarcosine (2TMS)","Sarcosine"
"M000733_A113005-101-xxx_NA_1120.62_TRUE_VAR5_ALK_Octanoic acid methyl ester (FAME MIX)","Octanoic acid methyl ester"
"M000450_A113006-101-xxx_NA_1131.57_TRUE_VAR5_ALK_Valeric acid. 2-oxo- (1MEOX) (1TMS) BP","Valeric acid. 2-oxo-"
