Query,PubChem
PR_MST_1057.9,NA
PR_MST_1100.3,NA
PR_MST_1128.3,NA
M000000_A126003-101_MST_1247.8_EIQTMS,NA
M000000_A136002-101_MST_1337.3_EIQTMS,NA
M000000_A136002-101_MST_1358.9_EITTMS,NA
M000000_A140003-101_MST_1394.9_EITTMS,NA
PR_MST_1376.7,NA
PR_MST_1421.8,NA
M000000_A147011-101_MST_1479.3_EITTMS,NA
PR_MST_1462.3,NA
M000000_A148006-101_MST_1480.5_EITTMS,NA
M000000_A151002-101_MST_1509.5_EITTMS,NA
M000000_A159003-101_MST_1585.2_EITTMS,NA
M000013_A157012-101_MST_1588.3_EISTR,NA
M000000_A159001-111_IS (QUAN)_1594.8_EITTMS,NA
M000000_A160005-101_MST_1596.8_EIQTMS,NA
PR_MST_1617.1,NA
PR_MST_1627.5,NA
M000000_A170001-101_MST_1700.2_EITTMS,NA
PR_MST_1705.7,NA
M000000_A180004-101_MST_1795.4_EITTMS,NA
M000000_A174001-101_MST_1744.8_EITTMS,NA
M000605_A177001-101_MST_1767_EITTMS,NA
M000000_A177004-101_MST_1770.9_EITTMS,NA
M000000_A177004-101_MST_1771.1_EITTMS,NA
PR_MST_1771.5,NA
M000000_A182007-101_MST_1822.3_EITTMS,NA
Dehydroascorbic acid dimer (TMS),NA
PR_MST_1858.3,NA
PR_MST_1875.4,NA
PR_MST_1879.8,NA
PR_MST_1887.2,NA
PR_MST_1899.2,NA
M000104_A146002-101_MST_1464.3_EITTMS,NA
PR_MST_1947,NA
"Glucopyranose, D",NA
PR_MST_2036.6,NA
PR_MST_2037.6,NA
M000000_A260002-101_MST_2593.7_EIQTMS,NA
M000000_A211001-101_MST_2105.7_EITTMS,NA
M000000_A203003-101_MST_2021.5_EITTMS,NA
M000000_A217004-101_MST_2174.6_EITTMS,NA
"Octadecadienoic acid, 9,12-(Z,Z)-, n",NA
"Octadecatrienoic acid, 9,12,15-(Z,Z,Z)-, n",NA
"Octadecanoic acid, n",NA
M000000_A228001-101_MST_2277_EITTMS,NA
"Inositol-1-phosphate, myo",NA
PR_MST_sugar_disaccharide_C6-C6_2454.7,NA
PR_MST_2526.5,NA
PR_MST_sugar_disaccharide_C6-C6_2547.7,NA
PR_MST_sugar_disaccharide_C6-C6_2550.1,NA
PR_MST_sugar_disaccharide_C6-C6_2557.6,NA
PR_MST_sugar_disaccharide_C6-C6_2722,NA
PR_MST_sugar_disaccharide_C6-C6_2734,NA
PR_MST_sugar_disaccharide_C6-C6_2892.5,NA
Adenosine-5-monophosphate,NA
"Nonadecanoic acid, n",NA
PR_MST_3329,NA
"Heptadecanoic acid, n",NA
"Ascorbic acid, L(+)",54670067
Campesterol,5283637
Stigmasterol,5280794
Phytol,5280435
"Threonic acid-1,4-lactone",2724794
Sinapic acid,637775
"Cinnamic acid, 4-hydroxy-, trans",637542
"Sitosterol, beta",457801
Fumaric acid,444972
Fructose,439709
Galactinol,439451
Mannose-6-phosphate,439198
Glyceric acid,439194
Glycerol-3-phosphate,439162
Erythritol,222285
Threonic acid,151152
Proline,145742
Lactic acid,107689
"Tocopherol, gamma",92729
Fructose-6-phosphate (1MEOX),69507
D-Arabinose,66308
Saccharic acid,33037
Glutamate,33032
Rhamnose,25310
"Tocopherol, alpha",14985
3-cyanoalanine,13538
Tetradecanoate,11005
Gluconate,10690
Raffinose (11TMS),10542
Salicylate,10253
Shikimic acid,8742
"Trehalose, alpha,alpha'-, D",7427
Pyroglutamate,7405
Guanosine,6802
Quinic acid,6508
Isoleucine,6306
Tryptophan,6305
Threonine,6288
Valine,6287
Histidine,6274
Asparagine,6267
Phenylalanine,6140
Methionine,6137
Leucine,6106
Tyrosine,6057
Sucrose,5988
"Lysine, L",5962
Glutamine,5961
Aspartate,5960
Glucose-6-phosphate (1MEOX),5958
Serine,5951
Alanine,5950
Cysteine,5862
Glucose,5793
Ribose,5779
Tyramine,5610
"Tryptamine, 5-hydroxy",5202
Isocitric acid,1198
Uracil,1174
Tryptamine,1150
Succinate,1110
Spermidine,1102
Phosphate,1061
Putrescine,1045
Hexadecanoate,985
Oxalic acid,971
Orotic acid,967
Nicotine,942
Nicotinate,938
Nicotinamide,936
"Inositol, myo",892
Pipecolate,849
Itaconate,811
Hydroxylamine,787
Glycine,750
Glyceric acid-3-phosphate,724
Ethanolamine,700
Malic acid,525
Citric acid,311
beta-Alanine,239
Adenine,190
"Butyric acid, 4-amino",119
"Glutaric acid, 2-oxo- (1MEOX)",51
M000013_A157008-101_MST_1566.3_EISTR,
