Query,PubChem
0,NA
lactic acid,107689
glycolic acid,757
l-alanine,5950
hydroxylamine,787
l-valine,6287
glycerol,753
l-leucine,6106
isoleucine,6306
l-proline,145742
nicotinic acid,938
glycine,750
fumaric acid,444972
l-serine,5951
l-threonine,6288
glutaric acid,743
beta-alanine,239
l-homoserine,12647
1109:34294-79-6,NA
l-malic acid,222656
l-aspartic acid,5960
methionine,6137
4-aminobutyric acid,119
threonic acid,151152
2-oxoglutaric acid,51
l-glutamic acid,33032
l-phenylalanine,6140
d-arabinose,66308
"1,3-diaminopropane",428
d-ribose,5779
suberic acid,10457
trans-aconitic acid,444212
putrescine,1045
l-glutamine,5961
shikimic acid,8742
isocitric acid,1198
citric acid,311
l-ornithine,6262
d-pinitol,NA
d-quinic acid,NA
d-fructose,439709
d-mannose,18950
"1174:gluconic acid-1,4-lactone, dl",NA
l-lysine,5962
l-histidine,6274
d-galacturonic acid,84740
l-tyrosine,6057
d-gluconic acid,10690
d-saccharic acid,33037
sinapic acid,637775
myo-inositol,NA
trans-caffeic acid,689043
phytol,5280435
linoleic acid,5280450
l-tryptophane,6305
tryptamine,1150
spermidine,1102
l-cystine,67678
glucose-6-phosphate,5958
serotonin,5202
lactose,84571
trehalose,7427
d-maltose,10991489
galactinol,439451
melibiose,440658
d-raffinose,10542
sitosterol,457801
l-5-oxoproline,7405
d-glucose,5793
sucrose,5988
palmitic acid,985
l-asparagine,6267
l-arginine,6322
d-fructose-6-phosphate,69507
succinic acid,1110
