Name,PubChem
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000000_A098004-101-xxx_NA_969.94_PRED_VAR5_ALK_Unknown#bth-pae-006, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000027_A100004-101-xxx_NA_1005.49_TRUE_VAR5_ALK_Alanine. beta- (1TMS),239
M000870_A104001-101-xxx_NA_1021.01_PRED_VAR5_ALK_Siloxane, 
M000413_A105003-101-xxx_NA_1031.31_TRUE_VAR5_ALK_Pyridine. 2-hydroxy- (1TMS),8871
Unknown, 
Unknown, 
M000071_A104002-101-xxx_NA_1037.28_TRUE_VAR5_ALK_Pyruvic acid (1MEOX) (1TMS),1060
Unknown, 
Unknown, 
Unknown, 
M000100_A105001-101-xxx_NA_1044.47_TRUE_VAR5_ALK_Lactic acid (2TMS),107689
GCTMS_N12C_STD_051203_228.892_1053.1_[2-Hydroxyisobutyric acid_2TMS],11671
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_266.632_1068_[Glycolic acid_2TMS],757
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051207_244.996_1096.1_[L-Alanine_2TMS],5950
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_284.666_1112.4_[Hydroxylamine_3TMS],787
Unknown, 
M000416_A110002-101-xxx_NA_1104.93_PRED_VAR5_ALK_Hydroxylamine (3TMS),787
GCTMS_N12C_STD_051203_255.572_1125.3_[Oxalic acid_2TMS],971
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_292.351_1134_[Dihydrouracil_2TMS],649
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000665_A114004-101-xxx_NA_1144.43_TRUE_VAR5_ALK_Butyro-1.4-lactam (1TMS), 
M000422_A115003-101-xxx_NA_1152.05_TRUE_VAR5_ALK_Benzylalcohol (1TMS),244
Unknown, 
Unknown, 
Unknown, 
M000000_A116014-101-xxx_NA_1158.99_PRED_VAR5_ALK_Unknown#bth-pae-013, 
GCTMS_N12C_STD_051219_303.196_1163.5_[N-Methyl-DL-Alanine_2TMS],5288725
M000507_A119001-101-xxx_NA_1167.37_TRUE_VAR5_ALK_Phosphoric acid monomethyl ester (2TMS), 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_314.251_1193.9_[Malonic acid_2TMS],867
Unknown, 
M000000_A119012-101-xxx_NA_1182.47_PRED_VAR5_ALK_Unknown#sst-cgl-004, 
Unknown, 
Unknown, 
M000424_A120001-101-xxx_NA_1200_TRUE_VAR5_ALK_Dodecane,8182
Unknown, 
GCTMS_N12C_STD_051207_285.883_1208.3_[L-Valine_2TMS],6287
Unknown, 
Unknown, 
M000000_A122011-101-xxx_NA_1216.91_PRED_VAR5_ALK_Dihydroxyacetone_2TMS,670
Unknown, 
Unknown, 
GCTMS_N12C_STD_051207_294.001_1233.3_[L-Norvaline_4TMS],439575
GCTMS_N12C_STD_051214_283.802_1207.6_[Methylmalonic acid_2TMS],487
Unknown, 
M000000_A124007-101-xxx_NA_1238.44_PRED_VAR5_ALK_Unknown#sst-cgl-008, 
Unknown, 
"GCTMS_N12C_STD_051203_297.3_1243.3_[1,3-Dihydroxyacetone dimer_2TMS]", 
Unknown, 
Unknown, 
M000364_A127002-101-xxx_NA_1234.56_PRED_VAR5_ALK_Urea (2TMS),1176
Unknown, 
M000000_A127001-101-xxx_NA_1238.54_PRED_VAR5_ALK_NA, 
M000015_A128001-101-xxx_NA_1252.52_TRUE_VAR5_ALK_Serine (2TMS),5951
M000347_A128003-101-xxx_NA_1251.31_TRUE_VAR5_ALK_Benzoic acid. (1TMS),243
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000096_A128002-101-xxx_NA_1260.11_TRUE_VAR5_ALK_Ethanolamine (3TMS),700
GCTMS_N12C_STD_051203_304.263_1264.7_[Glycerol_3TMS],753
Unknown, 
GCTMS_N12C_STD_051207_304.329_1265_[L-Leucine_2TMS],6106
Unknown, 
M000075_A129001-101-xxx_NA_1262.42_TRUE_VAR5_ALK_Phosphoric acid (3TMS),1061
M000025_A129002-101-xxx_NA_1264.43_TRUE_VAR5_ALK_Leucine (2TMS),6106
GCTMS_N12C_STD_051219_336.307_1261.5_[Ethanolamine_3TMS],700
Unknown, 
M000017_A132002-101-xxx_NA_1286.69_TRUE_VAR5_ALK_Isoleucine (2TMS),6306
M000016_A128011-101-xxx_NA_1286.82_TRUE_VAR5_ALK_Threonine. allo- (2TMS),6288
GCTMS_N12C_STD_051207_311.392_1286.7_[L-Isoleucine_2TMS],6306
Unknown, 
Unknown, 
M000029_A132003-101-xxx_NA_1295.77_TRUE_VAR5_ALK_Proline (2TMS),145742
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000457_A133004-101-xxx_NA_1300.8_TRUE_VAR5_ALK_Nicotinic acid (1TMS),938
Unknown, 
GCTMS_N12C_STD_051203_316.441_1302.3_[Glycine_3TMS],750
M000533_A130004-101-xxx_NA_1293.26_PRED_VAR5_ALK_Tridecane. n-,12388
Unknown, 
Unknown, 
GCTMS_N12C_STD_060131_348.339_1303.7_[Succinic acid_2TMS],1110
M000074_A134001-101-xxx_NA_1310.36_TRUE_VAR5_ALK_Succinic acid (2TMS),1110
Unknown, 
M000031_A133001-101-xxx_NA_1303.64_TRUE_VAR5_ALK_Glycine (3TMS),750
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000430_A132016-101-xxx_NA_1320.86_TRUE_VAR5_ALK_Aminomalonic acid (2TMS),100714
M000073_A135003-101-xxx_NA_1319.94_TRUE_VAR5_ALK_Glyceric acid (3TMS),439194
GCTMS_N12C_STD_060131_351.012_1312.8_[R-(-)-1-Amino-2-propanol_3TMS], 
Unknown, 
M000000_A136002-101-xxx_NA_1332.55_TRUE_VAR5_ALK_similar to Lumichrome (2MeOX), 
Unknown, 
GCTMS_N12C_STD_051214_323.107_1331.4_[Uracil_2TMS],1174
GCTMS_N12C_STD_051219_360.562_1340.3_[Fumaric acid_2TMS],444972
Unknown, 
M000015_A138001-101-xxx_NA_1352.51_TRUE_VAR5_ALK_Serine (3TMS),5951
Unknown, 
GCTMS_N12C_STD_051219_362.937_1348.4_[L-Serine_3TMS],5951
M000896_A135008-101-xxx_NA_1350.67_TRUE_VAR5_ALK_Pyrrole-2-carboxylic acid (2TMS),12473
Unknown, 
Unknown, 
M000026_A138002-101-xxx_NA_1360.5_PRED_VAR5_ALK_Alanine (3TMS),5950
M000466_A138005-101-xxx_NA_1371.75_TRUE_VAR5_ALK_Alanine. 3-cyano- (2TMS),13538
