Query,PubChem
0,NA
lactic acid,107689
glycolic acid,757
l-alanine,5950
hydroxylamine,787
oxalic acid,971
dihydrouracil,649
"1081:butyro-1,4-lactam (1tms)",NA
2-aminobutyric acid,80283
l-valine,6287
glycerol,753
phosphoric acid,1004
l-leucine,6106
isoleucine,6306
glycine,750
succinic acid,1110
glyceric acid,439194
fumaric acid,444972
l-serine,5951
3-cyano-l-alanine,NA
l-threonine,6288
glutaric acid,743
beta-alanine,239
l-homoserine,12647
1109:34294-79-6,NA
l-malic acid,222656
methionine,6137
4-aminobutyric acid,119
threonic acid,151152
l-phenylalanine,6140
d-xylose,135191
d-arabinose,66308
"1,3-diaminopropane",428
l-asparagine,6267
suberic acid,10457
trans-aconitic acid,444212
putrescine,1045
l-glutamine,5961
shikimic acid,8742
isocitric acid,1198
citric acid,311
l-ornithine,6262
"d-glucurono-6,3-lactone",2724333
d-quinic acid,NA
d-fructose,439709
d-mannose,18950
l-lysine,5962
d-galacturonic acid,84740
l-tyrosine,6057
galactonic acid,128869
d-saccharic acid,33037
myo-inositol,NA
phytol,5280435
linoleic acid,5280450
alpha-linolenic acid,5280934
l-tryptophane,6305
tryptamine,1150
spermidine,1102
l-cystine,67678
glucose-6-phosphate,5958
myo-inositol 1-phosphate,NA
serotonin,5202
nicotianamine,NA
xylobiose,NA
d-maltose,10991489
trehalose,7427
isomaltose,439193
3-caffeoyl-quinic acid,NA
galactinol,439451
chlorogenic acid,1794427
alpha-tocopherol,14985
d-raffinose,10542
l-proline,145742
l-5-oxoproline,7405
l-glutamic acid,33032
d-glucose,5793
sucrose,5988
palmitic acid,985
l-aspartic acid,5960
l-histidine,6274
allantoin,204
d-fructose-6-phosphate,69507
2-oxoglutaric acid,51
l-rhamnose,25310
