"Name", "PubChem"
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051203_228.892_1053.1_[2-Hydroxyisobutyric acid_2TMS]", 11671
"Unknown", 
"GCTMS_N12C_STD_051219_266.632_1068_[Glycolic acid_2TMS]", 757
"Unknown", 
"Unknown", 
"Unknown", 
"M000026_A110001-101-xxx_NA_1088.46_TRUE_VAR5_ALK_Alanine (2TMS)", 5950
"Unknown", 
"GCTMS_N12C_STD_051207_244.996_1096.1_[L-Alanine_2TMS]", 5950
"Unknown", 
"M000000_A110007-101-xxx_NA_1095.09_PRED_VAR5_ALK_Butylamine_2TMS", 8007
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051219_284.666_1112.4_[Hydroxylamine_3TMS]", 787
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051203_255.572_1125.3_[Oxalic acid_2TMS]", 971
"Unknown", 
"M000000_A112003-101-xxx_NA_1122.44_TRUE_VAR5_ALK_NA", 
"Unknown", 
"Unknown", 
"M000000_A114002-101-xxx_NA_1131.27_TRUE_VAR5_ALK_NA114002 (classified unknown)", 
"Unknown", 
"GCTMS_N12C_STD_051219_292.351_1134_[Dihydrouracil_2TMS]", 649
"Unknown", 
"GCTMS_N12C_STD_051219_298.653_1151.3_[DL-beta-Hydroxybutyric acid_2TMS]", 441
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"M000000_A116014-101-xxx_NA_1158.99_PRED_VAR5_ALK_Unknown#bth-pae-013", 
"Unknown", 
"1166_2-Oxovaleric acid  (1MEOX) (1TMS)", 74563
"Unknown", 
"Unknown", 
"Unknown", 
"M000507_A119001-101-xxx_NA_1167.37_TRUE_VAR5_ALK_Phosphoric acid monomethyl ester (2TMS)", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051214_278.044_1191.1_[(+-)-3-Methyl-2-oxovaleric acid sodium_3TMS]", 
"Unknown", 
"GCTMS_N12C_STD_051219_314.251_1193.9_[Malonic acid_2TMS]", 867
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"M000424_A120001-101-xxx_NA_1200_TRUE_VAR5_ALK_Dodecane", 8182
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_285.883_1208.3_[L-Valine_2TMS]", 6287
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_294.001_1233.3_[L-Norvaline_4TMS]", 439575
"Unknown", 
"Unknown", 
"M000805_A127003-101-xxx_NA_1236.16_TRUE_VAR5_ALK_Diethylenglycol (2TMS)", 
"Unknown", 
"M000000_A124004-101-xxx_NA_1242.87_TRUE_VAR5_ALK_NA", 
"Unknown", 
"Unknown", 
"M000347_A128003-101-xxx_NA_1251.31_TRUE_VAR5_ALK_Benzoic acid. (1TMS)", 243
"Unknown", 
"GCTMS_N12C_STD_051203_297.3_1243.3_[1,3-Dihydroxyacetone dimer_2TMS]", 
"M000015_A128001-101-xxx_NA_1252.52_TRUE_VAR5_ALK_Serine (2TMS)", 5951
"M000000_A127001-101-xxx_NA_1238.54_PRED_VAR5_ALK_NA", 
"GCTMS_N12C_STD_051219_336.307_1261.5_[Ethanolamine_3TMS]", 700
"Unknown", 
"Unknown", 
"M000096_A128002-101-xxx_NA_1260.11_TRUE_VAR5_ALK_Ethanolamine (3TMS)", 700
"GCTMS_N12C_STD_051207_304.329_1265_[L-Leucine_2TMS]", 6106
"Unknown", 
"Unknown", 
"Unknown", 
"M000075_A129001-101-xxx_NA_1262.42_TRUE_VAR5_ALK_Phosphoric acid (3TMS)", 1061
"M000000_A126013-101-xxx_NA_1258.06_PRED_VAR5_ALK_Unknown#bth-pae-018", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"M000017_A132002-101-xxx_NA_1286.69_TRUE_VAR5_ALK_Isoleucine (2TMS)", 6306
"GCTMS_N12C_STD_051207_311.392_1286.7_[L-Isoleucine_2TMS]", 6306
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_313.801_1294.1_[L-Proline_2TMS]", 145742
"Unknown", 
"M000029_A132003-101-xxx_NA_1295.77_TRUE_VAR5_ALK_Proline (2TMS)", 145742
"Unknown", 
"M000533_A130004-101-xxx_NA_1293.26_PRED_VAR5_ALK_Tridecane. n-", 12388
"M000031_A133001-101-xxx_NA_1303.64_TRUE_VAR5_ALK_Glycine (3TMS)", 750
"GCTMS_N12C_STD_060131_348.339_1303.7_[Succinic acid_2TMS]", 1110
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_319.278_1312.2_[L-Norleucine_2TMS]", 21236
"GCTMS_N12C_STD_051203_316.441_1302.3_[Glycine_3TMS]", 750
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"M000073_A135003-101-xxx_NA_1319.94_TRUE_VAR5_ALK_Glyceric acid (3TMS)", 439194
"M000522_A136003-101-xxx_NA_1328.67_TRUE_VAR5_ALK_Picolinic acid (1TMS)", 1018
"Unknown", 
"M000872_A133011-101-xxx_NA_1332.56_TRUE_VAR5_ALK_Lumichrome (2MEOX)", 
"Unknown", 
"GCTMS_N12C_STD_051214_323.107_1331.4_[Uracil_2TMS]", 1174
"Unknown", 
"GCTMS_N12C_STD_051219_360.562_1340.3_[Fumaric acid_2TMS]", 444972
"M000896_A135008-101-xxx_NA_1350.67_TRUE_VAR5_ALK_Pyrrole-2-carboxylic acid (2TMS)", 12473
"Unknown", 
"GCTMS_N12C_STD_051219_362.937_1348.4_[L-Serine_3TMS]", 5951
"Unknown", 
"Unknown", 
"M000026_A138002-101-xxx_NA_1360.5_PRED_VAR5_ALK_Alanine (3TMS)", 5950
"Unknown", 
"Unknown", 
"M000000_A136010-101-xxx_NA_1363.96_TRUE_VAR5_ALK_NA", 
"Unknown", 
"1376.5_L-beta-homoleucine-HCl (2TMS)", 
"Unknown", 
"Unknown", 
"M000466_A138005-101-xxx_NA_1371.75_TRUE_VAR5_ALK_Alanine. 3-cyano- (2TMS)", 13538
"Unknown", 
"M000000_A140003-101-xxx_NA_1370.74_PRED_VAR5_ALK_NA", 
"Unknown", 
"M000016_A140001-101-xxx_NA_1377.23_TRUE_VAR5_ALK_Threonine (3TMS)", 6288
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_060123_368.734_1374.3_[alpha-Methyl-DL-serine_3TMS]", 
"GCTMS_N12C_STD_051207_337.759_1375.4_[L-Threonine_3TMS]", 6288
"Unknown", 
"Unknown", 
"Unknown", 
