Query,PubChem
Adenosine-5-monophosphate,NA
Alanine,5950
alpha-Tocopherol,14985
Arabinose,439195
"Arginine, NH3",NA
Asparagine,6267
Aspartate,5960
beta-Alanine,239
beta-Sitosterol,222284
Campesterol,5283637
Cholesterol,11025495
Citrate,311
Dehydroascorbate,210328
Dihydrouracil,649
Erythritol,222285
Ethanolamine,700
Fructose,439709
Fructose 6-phosphate,69507
Fumarate,444972
Galactinol,439451
Galactitol,11850
Galactonate,128869
gamma-Amino-n-butyrate,119
Glucopyranose,NA
Glucose,5793
Glucose-6-phosphate,5958
Glutamate,33032
Glutamine,5961
Glycerate,439194
Glycerol-2-phosphate,2526
Glycerol-3-phosphate,439162
Glycine,750
Hexadecanoate,985
Homocysteine,778
Homoserine,12647
Hydroxylamine,787
Indole-3-acetonitrile,351795
Inositol-1-phosphate,NA
Isoleucine,6306
Lactate,107689
Linoleate,5280450
Linolenate,5280934
Lysine,5962
Malate,222656
Maleiate,NA
Mannose-6-phosphate,439198
Methionine,6137
Methionine sulfone,NA
"1,6-anhydro-Glucose",NA
myo-Inositol,NA
N-acetyl-Ornithine,NA
Nicotianamine,NA
Ornithine,6262
Phenylalanine,6140
Phosphate,1061
Pipecolate,849
polyol,NA
Proline,145742
Putrescine,1045
Pyroglutamate,7405
Raffinose,10542
Ribose,5779
Salicylate,10253
Serine,5951
Shikimate,8742
Sinapate,637775
Spermidine,1102
Stearate,5281
Succinate,1110
Sucrose,5988
Tetracosanoate,11197
Tetradecanoate,11005
Threitol,169019
Threonate,151152
"Threonic acid-1,4-lactone",2724794
Threonine,6288
Threose,439574
Trehalose,7427
Tyramine,5610
Tyrosine,6057
Uracil,1174
Urea,1176
Valine,6287
Xylose,135191
