"Name", "PubChem"
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051203_228.892_1053.1_[2-Hydroxyisobutyric acid_2TMS]", 11671
"GCTMS_N12C_STD_051219_266.632_1068_[Glycolic acid_2TMS]", 757
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_244.996_1096.1_[L-Alanine_2TMS]", 5950
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"M000000_A110007-101-xxx_NA_1095.09_PRED_VAR5_ALK_Butylamine_2TMS", 8007
"GCTMS_N12C_STD_051219_284.666_1112.4_[Hydroxylamine_3TMS]", 787
"Unknown", 
"Unknown", 
"Unknown", 
"M000000_A112003-101-xxx_NA_1122.44_TRUE_VAR5_ALK_NA", 
"M001233_A114014-101-xxx_NA_1133.08_TRUE_VAR5_ALK_Furan-2-carboxylic acid (1TMS)", 6919
"Unknown", 
"GCTMS_N12C_STD_051219_292.351_1134_[Dihydrouracil_2TMS]", 649
"M000000_A114002-101-xxx_NA_1131.27_TRUE_VAR5_ALK_NA114002 (classified unknown)", 
"M000419_A114003-101-xxx_NA_1136.97_TRUE_VAR5_ALK_Pyridine. 3-hydroxy- (1TMS)", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051219_298.653_1151.3_[DL-beta-Hydroxybutyric acid_2TMS]", 441
"M000000_A116014-101-xxx_NA_1158.99_PRED_VAR5_ALK_Unknown#bth-pae-013", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"M000507_A119001-101-xxx_NA_1167.37_TRUE_VAR5_ALK_Phosphoric acid monomethyl ester (2TMS)", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051214_278.044_1191.1_[(+-)-3-Methyl-2-oxovaleric acid sodium_3TMS]", 
"Unknown", 
"GCTMS_N12C_STD_051203_284.101_1202.8_[(1-Aminocyclopropane-1-carboxylic acid_nTMS]", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051219_314.251_1193.9_[Malonic acid_2TMS]", 867
"M000424_A120001-101-xxx_NA_1200_TRUE_VAR5_ALK_Dodecane", 8182
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_285.883_1208.3_[L-Valine_2TMS]", 6287
"M000030_A122001-101-xxx_NA_1207.1_TRUE_VAR5_ALK_Valine (2TMS)", 6287
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_294.001_1233.3_[L-Norvaline_4TMS]", 439575
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"M000364_A127002-101-xxx_NA_1234.56_PRED_VAR5_ALK_Urea (2TMS)", 1176
"M000000_A124004-101-xxx_NA_1242.87_TRUE_VAR5_ALK_NA", 
"M000000_A127001-101-xxx_NA_1238.54_PRED_VAR5_ALK_NA", 
"Unknown", 
"M000347_A128003-101-xxx_NA_1251.31_TRUE_VAR5_ALK_Benzoic acid. (1TMS)", 243
"M000015_A128001-101-xxx_NA_1252.52_TRUE_VAR5_ALK_Serine (2TMS)", 5951
"GCTMS_N12C_STD_051207_304.329_1265_[L-Leucine_2TMS]", 6106
"M000096_A128002-101-xxx_NA_1260.11_TRUE_VAR5_ALK_Ethanolamine (3TMS)", 700
"GCTMS_N12C_STD_051203_304.263_1264.7_[Glycerol_3TMS]", 753
"M000075_A129001-101-xxx_NA_1262.42_TRUE_VAR5_ALK_Phosphoric acid (3TMS)", 1061
"M000025_A129002-101-xxx_NA_1264.43_TRUE_VAR5_ALK_Leucine (2TMS)", 6106
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_311.392_1286.7_[L-Isoleucine_2TMS]", 6306
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_313.801_1294.1_[L-Proline_2TMS]", 145742
"M000457_A133004-101-xxx_NA_1300.8_TRUE_VAR5_ALK_Nicotinic acid (1TMS)", 938
"Unknown", 
"M000533_A130004-101-xxx_NA_1293.26_PRED_VAR5_ALK_Tridecane. n-", 12388
"GCTMS_N12C_STD_051203_316.441_1302.3_[Glycine_3TMS]", 750
"M000031_A133001-101-xxx_NA_1303.64_TRUE_VAR5_ALK_Glycine (3TMS)", 750
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_060131_348.339_1303.7_[Succinic acid_2TMS]", 1110
"M000073_A135003-101-xxx_NA_1319.94_TRUE_VAR5_ALK_Glyceric acid (3TMS)", 439194
"Unknown", 
"M000872_A133011-101-xxx_NA_1332.56_TRUE_VAR5_ALK_Lumichrome (2MEOX)", 
"GCTMS_N12C_STD_051214_323.107_1331.4_[Uracil_2TMS]", 1174
"GCTMS_N12C_STD_051219_360.562_1340.3_[Fumaric acid_2TMS]", 444972
"Unknown", 
"GCTMS_N12C_STD_051219_362.937_1348.4_[L-Serine_3TMS]", 5951
"M000461_A138003-101-xxx_NA_1360.69_TRUE_VAR5_ALK_Nonanoic acid (1TMS)", 8158
"M000026_A138002-101-xxx_NA_1360.5_PRED_VAR5_ALK_Alanine (3TMS)", 5950
"GCTMS_N12C_STD_051214_333.172_1365.8_[1-Amino-1-cyclopentanecarboxylic acid_2TMS]", 
"M000466_A138005-101-xxx_NA_1371.75_TRUE_VAR5_ALK_Alanine. 3-cyano- (2TMS)", 13538
"Unknown", 
"M000000_A140003-101-xxx_NA_1370.74_PRED_VAR5_ALK_NA", 
"GCTMS_N12C_STD_060123_368.734_1374.3_[alpha-Methyl-DL-serine_3TMS]", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051207_337.759_1375.4_[L-Threonine_3TMS]", 6288
"Unknown", 
"Unknown", 
"Unknown", 
"Unknown", 
"GCTMS_N12C_STD_051214_338.914_1385.4_[O-Acetyl-L-Serine hyd_2TMS]", 
"GCTMS_N12C_STD_051219_376.468_1394.6_[Glutaric acid_2TMS]", 743
"M000730_A143004-101-xxx_NA_1403.98_PRED_VAR5_ALK_Butanoic acid. 2.4-dihydroxy- (3TMS)", 
"M000534_A140011-101-xxx_NA_1393.41_PRED_VAR5_ALK_Tetradecane. n-", 
"M000027_A144001-101-xxx_NA_1423.86_TRUE_VAR5_ALK_Alanine. beta- (3TMS)", 239
"GCTMS_N12C_STD_051207_350.859_1422_[beta-Alanine_3TMS]", 239
"Unknown", 
"M000019_A146001-101-xxx_NA_1441.44_TRUE_VAR5_ALK_Homoserine (3TMS)", 12647
"Unknown", 
