Name,PubChem
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000515_A100003-101-xxx_NA_1000_TRUE_VAR5_ALK_Decane. n-, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000870_A104001-101-xxx_NA_1021.01_PRED_VAR5_ALK_Siloxane, 
M000413_A105003-101-xxx_NA_1031.31_TRUE_VAR5_ALK_Pyridine. 2-hydroxy- (1TMS),8871
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000071_A104002-101-xxx_NA_1037.28_TRUE_VAR5_ALK_Pyruvic acid (1MEOX) (1TMS),1060
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051203_228.892_1053.1_[2-Hydroxyisobutyric acid_2TMS],11671
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_266.632_1068_[Glycolic acid_2TMS],757
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000887_A110005-101-xxx_NA_1104.52_TRUE_VAR5_ALK_Acetoacetic acid (1MEOX) (1TMS) BP,96
Unknown, 
GCTMS_N12C_STD_051207_244.996_1096.1_[L-Alanine_2TMS],5950
Unknown, 
M000449_A116004-101-xxx_NA_1095.76_TRUE_VAR5_ALK_Isovaleric acid. 2-oxo- (1MEOX) (1TMS) MP,49
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000000_A110007-101-xxx_NA_1095.09_PRED_VAR5_ALK_Butylamine_2TMS,8007
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_284.666_1112.4_[Hydroxylamine_3TMS],787
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M001233_A114014-101-xxx_NA_1133.08_TRUE_VAR5_ALK_Furan-2-carboxylic acid (1TMS),6919
GCTMS_N12C_STD_051203_255.572_1125.3_[Oxalic acid_2TMS],971
GCTMS_N12C_STD_051219_292.351_1134_[Dihydrouracil_2TMS],649
Unknown, 
Unknown, 
Unknown, 
M000000_A114002-101-xxx_NA_1131.27_TRUE_VAR5_ALK_NA114002 (classified unknown), 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000419_A114003-101-xxx_NA_1136.97_TRUE_VAR5_ALK_Pyridine. 3-hydroxy- (1TMS), 
M000665_A114004-101-xxx_NA_1144.43_TRUE_VAR5_ALK_Butyro-1.4-lactam (1TMS), 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_298.653_1151.3_[DL-beta-Hydroxybutyric acid_2TMS],441
M000000_A116014-101-xxx_NA_1158.99_PRED_VAR5_ALK_Unknown#bth-pae-013, 
1166_2-Oxovaleric acid  (1MEOX) (1TMS),74563
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_303.196_1163.5_[N-Methyl-DL-Alanine_2TMS],5288725
Unknown, 
M000507_A119001-101-xxx_NA_1167.37_TRUE_VAR5_ALK_Phosphoric acid monomethyl ester (2TMS), 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000397_A117007-101-xxx_NA_1177.1_TRUE_VAR5_ALK_Succinic semialdehyde (1MEOX) (1TMS) MP,1112
Unknown, 
Unknown, 
Unknown, 
1170_4-Methyl-2-oxovaleric acid (1MEOX) (1TMS),70
GCTMS_N12C_STD_051214_278.044_1191.1_[(+-)-3-Methyl-2-oxovaleric acid sodium_3TMS], 
Unknown, 
Unknown, 
M000424_A120001-101-xxx_NA_1200_TRUE_VAR5_ALK_Dodecane,8182
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_314.251_1193.9_[Malonic acid_2TMS],867
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051207_285.883_1208.3_[L-Valine_2TMS],6287
Unknown, 
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051214_283.802_1207.6_[Methylmalonic acid_2TMS],487
GCTMS_N12C_STD_051207_294.001_1233.3_[L-Norvaline_4TMS],439575
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000000_A124007-101-xxx_NA_1238.44_PRED_VAR5_ALK_Unknown#sst-cgl-008, 
Unknown, 
Unknown, 
M000364_A127002-101-xxx_NA_1234.56_PRED_VAR5_ALK_Urea (2TMS),1176
Unknown, 
"GCTMS_N12C_STD_051203_297.3_1243.3_[1,3-Dihydroxyacetone dimer_2TMS]", 
Unknown, 
Unknown, 
M000347_A128003-101-xxx_NA_1251.31_TRUE_VAR5_ALK_Benzoic acid. (1TMS),243
Unknown, 
M000015_A128001-101-xxx_NA_1252.52_TRUE_VAR5_ALK_Serine (2TMS),5951
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051219_336.307_1261.5_[Ethanolamine_3TMS],700
GCTMS_N12C_STD_051203_304.263_1264.7_[Glycerol_3TMS],753
Unknown, 
M000075_A129001-101-xxx_NA_1262.42_TRUE_VAR5_ALK_Phosphoric acid (3TMS),1061
GCTMS_N12C_STD_051207_304.329_1265_[L-Leucine_2TMS],6106
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051207_311.392_1286.7_[L-Isoleucine_2TMS],6306
Unknown, 
M000000_A129011-101-xxx_NA_1295.54_TRUE_VAR5_ALK_NA, 
Unknown, 
Unknown, 
GCTMS_N12C_STD_051207_313.801_1294.1_[L-Proline_2TMS],145742
M000076_A133003-101-xxx_NA_1300.72_TRUE_VAR5_ALK_Maleic acid (2TMS),444972
Unknown, 
GCTMS_N12C_STD_060131_348.339_1303.7_[Succinic acid_2TMS],1110
M000031_A133001-101-xxx_NA_1303.64_TRUE_VAR5_ALK_Glycine (3TMS),750
GCTMS_N12C_STD_051203_316.441_1302.3_[Glycine_3TMS],750
M000533_A130004-101-xxx_NA_1293.26_PRED_VAR5_ALK_Tridecane. n-,12388
M000074_A134001-101-xxx_NA_1310.36_TRUE_VAR5_ALK_Succinic acid (2TMS),1110
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000073_A135003-101-xxx_NA_1319.94_TRUE_VAR5_ALK_Glyceric acid (3TMS),439194
Unknown, 
GCTMS_N12C_STD_051207_319.278_1312.2_[L-Norleucine_2TMS],21236
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
Unknown, 
M000000_A136002-101-xxx_NA_1332.55_TRUE_VAR5_ALK_similar to Lumichrome (2MeOX), 
M000872_A133011-101-xxx_NA_1332.56_TRUE_VAR5_ALK_Lumichrome (2MEOX), 
GCTMS_N12C_STD_051214_323.107_1331.4_[Uracil_2TMS],1174
Unknown, 
GCTMS_N12C_STD_051219_360.562_1340.3_[Fumaric acid_2TMS],444972
