Query,PubChem
0,NA
pyruvic acid,1060
lactic acid,107689
glycolic acid,757
l-alanine,5950
hydroxylamine,787
malonic acid,867
l-valine,6287
phosphoric acid,1004
l-isoleucine,6306
maleic acid,444266
glycine,750
glyceric acid,439194
itaconic acid,811
fumaric acid,444972
l-serine,5951
"1104:threonic acid-1,4-lactone",NA
l-threonine,6288
glutaric acid,743
beta-alanine,239
l-homoserine,12647
1109:34294-79-6,NA
l-citramalic acid,NA
l-malic acid,222656
meso-erythritol,222285
methionine,6137
4-aminobutyric acid,119
threonic acid,151152
l-cysteine,5862
2-oxoglutaric acid,51
d-tartaric acid,439655
l-phenylalanine,6140
d-xylose,135191
d-arabinose,66308
"1,3-diaminopropane",428
d-ribose,5779
suberic acid,10457
"1,6-anhydro-beta-d-glucose",2724705
d-arabitol,827
trans-aconitic acid,444212
l-glutamine,5961
shikimic acid,8742
citric acid,311
l-ornithine,6262
d-fructose,439709
l-lysine,5962
d-galacturonic acid,84740
l-tyrosine,6057
d-gluconic acid,10690
1-o-methyl-galactopyranoside,NA
myo-inositol,NA
trans-caffeic acid,689043
glycero 3-phosphate,NA
phytol,5280435
linoleic acid,5280450
alpha-linolenic acid,5280934
tryptamine,1150
stearic acid,5281
sinapic acid,637775
spermidine,1102
d-fructose-6-phosphate,69507
l-cystine,67678
glucose-6-phosphate,5958
myo-inositol 1-phosphate,NA
uridine,6029
serotonin,5202
lactose,84571
"1260:docosan-1-ol, n- (1tms)",NA
nicotianamine,NA
trehalose,7427
"1281:quinic acid, 3-caffeoyl-, cis- (6tms)",NA
galactinol,439451
chlorogenic acid,1794427
quercetin,5280343
stigmasterol,5280794
d-raffinose,10542
sitosterol,457801
l-proline,145742
succinic acid,1110
l-5-oxoproline,7405
l-glutamic acid,33032
d-glucose,5793
sucrose,5988
putrescine,1045
palmitic acid,985
ethanolamine,700
glycerol,753
l-leucine,6106
nicotinic acid,938
l-aspartic acid,5960
isocitric acid,1198
d-quinic acid,NA
l-histidine,6274
l-tryptophane,6305
l-arginine,6322
gamma-tocopherol,14986
alpha-tocopherol,14985
